brand,model,launch,weight,display type,display size,ppi,cpu,gpu,main camera,wide,telephoto,selfie,battery
Lg,g8 thinq,2019-02,167,P-OLED,6.1,564,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,1+6++M+P,1,1,8,3500
Sony,xperia 5,2019-09,164,OLED,6.1,449,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,12+12+12,1,1,8,3140
Xiaomi,mi 9t pro,2019-08,191,Super AMOLED,6.39,403,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,48+8+13,1,1,20,4000
Lg,g8x thinq,2019-09,192,OLED,6.4,403,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,12+13,1,0,32,4000
Huawei,mate 30 pro,2019-09,198,OLED,6.53,409,Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,40+8+40,1,1,32,4500
Google,pixel 3a xl,2019-05,167,OLED,6.0,402,Octa-core (2x2.0 GHz 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 615,12.2,1,0,8,3700
Samsung,galaxy note10+ 5g,2019-08,198,Dynamic AMOLED,6.8,498,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.4 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55),Mali-G76 MP12,12+12+16+0.3,1,1,10,4300
Xiaomi,redmi k20 pro,2019-05,191,Super AMOLED,6.39,403,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,48+8+13,1,1,20,4000
Samsung,galaxy a90 5g,2019-09,206,Super AMOLED,6.7,393,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,48+8+5,1,0,32,4500
Xiaomi,mi 9 se,2019-02,155,Super AMOLED,5.97,432,Octa-core (2x2.3 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,48+8+13,1,1,20,3070
Sony,xperia 10 plus,2019-02,180,IPS LCD,6.5,422,Octa-core (4x1.8 GHz Kryo 260 Gold & 4x1.6 GHz Kryo 260 Silver),Adreno 509,12+8,1,1,8,3000
Nokia,9 pureview,2019-02,172,P-OLED,5.99,538,Octa-core (4x2.8 GHz Kryo 385 Gold & 4x1.7 GHz Kryo 385 Silver),Adreno 630,12,1,0,20,3320
Samsung,galaxy a70s,2019-09,187,Super AMOLED,6.7,393,Octa-core (2x2.0 GHz Kryo 460 Gold & 6x1.7 GHz Kryo 460 Silver),Adreno 612,64+8+5,1,0,32,4500
Samsung,galaxy fold,2019-02,263,Foldable Dynamic AMOLED,7.3,362,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,12+12+16,1,1,10+8+10,4380
Xiaomi,mi 9 lite,2019-09,179,Super AMOLED,6.39,403,Octa-core (2x2.2 GHz Kryo 360 Gold & 6x1.7 GHz Kryo 360 Silver),Adreno 616,48+8+2,1,0,32,4030
Lg,v50s thinq 5g,2019-10,192,OLED,6.4,403,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,12+13,1,0,32,4000
